Codigo,Nombre
1,ACTIVO 
11,DISPONIBLE 
1105,CAJA 
110505,CAJA GENERAL 
11050501,CAJA GENERAL DE LA CIUDAD DE BOGOta
110510,CAJAS MENORES 
110515,MONEDA EXTRANJERA 
1110,BANCOS 
111005,MONEDA NACIONAL 
111010,MONEDA EXTRANJERA 
1115,REMESAS EN TRANSITO 
111505,MONEDA NACIONAL 
111510,MONEDA EXTRANJERA 
1120,CUENTAS DE AHORRO 
112005,BANCOS 
112010,CORPORACIONES DE AHORRO Y VIVIENDA 
112015,ORGANISMOS COOPERATIVOS FINANCIEROS 
1125,FONDOS 
112505,ROTATORIOS MONEDA NACIONAL 
112510,ROTATORIOS MONEDA EXTRANJERA 
112515,ESPECIALES MONEDA NACIONAL 
112520,ESPECIALES MONEDA EXTRANJERA 
112525,DE AMORTIZACION MONEDA NACIONAL 
112530,DE AMORTIZACION MONEDA EXTRANJERA 
12,INVERSIONES 
1205,ACCIONES 
120505,AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA 
120510,PESCA 
120515,EXPLOTACION DE MINAS Y CANTERAS 
120520,INDUSTRIA MANUFACTURERA 
120525,SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA 
120530,CONSTRUCCION 
120535,COMERCIO AL POR MAYOR Y AL POR MENOR 
120540,HOTELES Y RESTAURANTES 
120545,TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES 
120550,ACTIVIDAD FINANCIERA 
120555,ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER 
120560,ENSEÑANZA 
120565,SERVICIOS SOCIALES Y DE SALUD 
120570,OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES 
120599,AJUSTES POR INFLACION 
1210,CUOTAS O PARTES DE INTERES SOCIAL 
121005,AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA 
121010,PESCA 
121015,EXPLOTACION DE MINAS Y CANTERAS 
121020,INDUSTRIA MANUFACTURERA 
